COUNTY_NAME,2002,2007,2012,2017,2022
AUTAUGA,789.0,501.0,763.0,1025.0,959.0
BARBOUR,214525.0,241320.0,324540.0,158834.0,104897.0
BIBB,300.0,143.0,959.0,875.0,1027.0
BLOUNT,411854.0,369328.0,250208.0,258259.0,370801.0
BULLOCK,0.0,0.0,90381.0,0.0,334.0
BUTLER,51327.0,80550.0,52000.0,0.0,0.0
CALHOUN,0.0,0.0,2503.0,1529.0,2361.0
CHAMBERS,183.0,528.0,1358.0,671.0,1459.0
CHEROKEE,263.0,0.0,0.0,0.0,0.0
CHILTON,1498.0,7266.0,3825.0,1305.0,2808.0
CHOCTAW,0.0,275.0,1590.0,28974.0,384.0
CLARKE,296.0,339.0,937.0,516.0,1305.0
CLAY,47730.0,0.0,0.0,174950.0,356274.0
CLEBURNE,118474.0,101928.0,99237.0,0.0,48702.0
COFFEE,154369.0,232681.0,184039.0,193883.0,0.0
COLBERT,43743.0,0.0,1262.0,0.0,0.0
CONECUH,120.0,287.0,0.0,0.0,0.0
COOSA,134.0,0.0,467.0,413.0,132.0
COVINGTON,383361.0,432169.0,659237.0,739723.0,442770.0
CRENSHAW,184725.0,222411.0,181838.0,229585.0,214380.0
CULLMAN,1572552.0,1687486.0,1788944.0,1024436.0,1566017.0
DALE,265.0,104925.0,218624.0,166950.0,205153.0
DALLAS,362.0,558.0,221.0,766.0,855.0
DE KALB,1349566.0,1444751.0,1204427.0,1230837.0,1182305.0
ELMORE,769.0,695.0,1983.0,2612.0,1661.0
ESCAMBIA,1382.0,1267.0,2508.0,1117.0,1310.0
ETOWAH,291512.0,72375.0,141709.0,182284.0,172558.0
FAYETTE,381.0,544.0,2175.0,1308.0,1081.0
FRANKLIN,245717.0,147082.0,231376.0,120431.0,143135.0
GENEVA,268367.0,163550.0,115073.0,54171.0,0.0
GREENE,203.0,224.0,796.0,121.0,485.0
HALE,145.0,1104.0,904.0,579.0,524.0
HENRY,0.0,185.0,0.0,115101.0,0.0
HOUSTON,0.0,0.0,9693.0,1237.0,1489.0
JACKSON,267075.0,253441.0,305196.0,87610.0,140896.0
JEFFERSON,656.0,275.0,1762.0,3490.0,2203.0
LAMAR,778.0,687.0,604.0,353.0,702.0
LAUDERDALE,130202.0,222368.0,204082.0,204921.0,86046.0
LAWRENCE,304356.0,302610.0,134857.0,214571.0,182321.0
LEE,0.0,3632.0,3945.0,2531.0,1972.0
LIMESTONE,134314.0,93720.0,72457.0,68262.0,48195.0
LOWNDES,279.0,217.0,568.0,490.0,323.0
MACON,578.0,1947.0,3952.0,917.0,1004.0
MADISON,0.0,0.0,2090.0,4912.0,3479.0
MARENGO,303.0,729.0,1458.0,764.0,1966.0
MARION,89724.0,111844.0,0.0,32447.0,833.0
MARSHALL,1111769.0,586462.0,689228.0,290921.0,366260.0
MOBILE,868.0,2252.0,3600.0,5601.0,4183.0
MONROE,264.0,211.0,533.0,516.0,722.0
MONTGOMERY,468.0,396.0,704.0,1130.0,566.0
MORGAN,48013.0,50179.0,12042.0,2480.0,0.0
PERRY,446.0,349.0,888.0,523.0,814.0
PICKENS,335196.0,208372.0,249428.0,223634.0,104287.0
PIKE,249912.0,228885.0,211296.0,149570.0,0.0
RANDOLPH,388163.0,602791.0,451001.0,341291.0,222443.0
RUSSELL,346.0,640.0,561.0,885.0,1046.0
SAINT CLAIR,3272.0,1083.0,1925.0,1275.0,2313.0
SHELBY,1120.0,962.0,2706.0,2994.0,1551.0
SUMTER,236.0,0.0,85728.0,0.0,339.0
TALLADEGA,0.0,0.0,16297.0,1111.0,2188.0
TALLAPOOSA,0.0,706.0,605.0,888.0,1092.0
TUSCALOOSA,0.0,50164.0,90177.0,3226.0,2164.0
WALKER,0.0,0.0,13514.0,0.0,12037.0
WASHINGTON,217044.0,290992.0,127597.0,228349.0,97816.0
WILCOX,285.0,470.0,1531.0,328.0,904.0
WINSTON,252320.0,195859.0,0.0,61575.0,105045.0
ALEUTIAN ISLANDS,112.0,0.0,410.0,520.0,304.0
ANCHORAGE,1541.0,2350.0,5099.0,4309.0,4364.0
FAIRBANKS NORTH STAR,731.0,785.0,1797.0,1527.0,1426.0
JUNEAU,151.0,0.0,281.0,458.0,534.0
KENAI PENINSULA,337.0,378.0,678.0,1546.0,3506.0
APACHE,417.0,3387.0,4346.0,3818.0,4738.0
COCHISE,2099.0,4628.0,15117.0,8653.0,6049.0
COCONINO,430.0,1211.0,1923.0,1847.0,2823.0
GILA,412.0,484.0,632.0,3379.0,1559.0
GRAHAM,136.0,1162.0,2570.0,1454.0,489.0
GREENLEE,190.0,382.0,287.0,460.0,186.0
LAPAZ,180.0,243.0,215.0,0.0,0.0
MOHAVE,742.0,1014.0,1386.0,2885.0,1597.0
NAVAJO,470.0,3769.0,4054.0,4897.0,3842.0
PIMA,548.0,1139.0,3126.0,2959.0,2521.0
PINAL,530.0,1958.0,3019.0,3027.0,2496.0
SANTA CRUZ,366.0,286.0,698.0,525.0,855.0
YAVAPAI,1398.0,2059.0,5617.0,6596.0,4288.0
YUMA,269.0,1000.0,1133.0,550.0,1238.0
ARKANSAS,150.0,337.0,205.0,303.0,192.0
ASHLEY,304.0,824.0,573.0,0.0,245346.0
BAXTER,840.0,1663.0,1860.0,1373.0,1456.0
BENTON,1221497.0,1664829.0,1672147.0,1365181.0,1469123.0
BOONE,214136.0,229148.0,170647.0,179418.0,290424.0
BRADLEY,251092.0,317755.0,295528.0,580056.0,547270.0
CARROLL,885903.0,1147788.0,1193778.0,1348923.0,1932126.0
CHICOT,0.0,114.0,58.0,80.0,48.0
CLARK,211240.0,225450.0,165436.0,105555.0,0.0
CLEVELAND,256170.0,360353.0,190421.0,117086.0,100436.0
COLUMBIA,175333.0,190191.0,106464.0,194186.0,41550.0
CONWAY,0.0,74304.0,62928.0,76527.0,0.0
CRAIGHEAD,769.0,195.0,469.0,1032.0,702.0
CRAWFORD,106143.0,161087.0,139451.0,3430.0,2102.0
CRITTENDEN,53.0,905.0,755.0,510.0,838.0
CROSS,83.0,84.0,102.0,371.0,338.0
DESHA,0.0,0.0,84.0,100.0,95.0
DREW,117510.0,165503.0,215066.0,198030.0,169082.0
FAULKNER,0.0,0.0,2525.0,4818.0,4121.0
FULTON,947.0,843.0,1908.0,103883.0,66176.0
GARLAND,129765.0,122786.0,110846.0,0.0,0.0
GRANT,370.0,637.0,555.0,1804.0,1289.0
HEMPSTEAD,591272.0,231135.0,676508.0,415341.0,370581.0
HOT SPRING,291104.0,411164.0,454397.0,429930.0,374506.0
HOWARD,557520.0,437578.0,367690.0,690940.0,509529.0
INDEPENDENCE,155936.0,84046.0,75179.0,0.0,0.0
IZARD,0.0,840.0,1431.0,0.0,86714.0
JOHNSON,255849.0,216294.0,129904.0,204663.0,380443.0
LAFAYETTE,105766.0,161444.0,129720.0,0.0,221.0
LINCOLN,155521.0,136083.0,121193.0,214429.0,182318.0
LITTLE RIVER,0.0,0.0,43117.0,0.0,483275.0
LOGAN,96199.0,94416.0,149670.0,118513.0,163089.0
LONOKE,191.0,759.0,940.0,2711.0,2446.0
MILLER,118588.0,79015.0,78348.0,83100.0,230793.0
MISSISSIPPI,180.0,0.0,453.0,0.0,45040.0
NEVADA,209882.0,276210.0,198965.0,157273.0,193697.0
NEWTON,43471.0,42517.0,0.0,0.0,770.0
OUACHITA,0.0,0.0,1191.0,2514.0,1287.0
PHILLIPS,0.0,0.0,28.0,19.0,56.0
POINSETT,0.0,95.0,428.0,662.0,0.0
POLK,236393.0,302159.0,269050.0,104738.0,141618.0
POPE,313728.0,318199.0,155763.0,64672.0,82714.0
PRAIRIE,67.0,380.0,471.0,122.0,317.0
PULASKI,663.0,855.0,1243.0,1517.0,2263.0
SAINT FRANCIS,0.0,615.0,48.0,310.0,0.0
SALINE,1159.0,906.0,1618.0,2091.0,1382.0
SCOTT,523851.0,482261.0,410452.0,216546.0,89398.0
SEARCY,369.0,650.0,937.0,1908.0,1093.0
SEBASTIAN,156760.0,91176.0,53058.0,176924.0,197175.0
SEVIER,56031.0,62258.0,88677.0,0.0,101828.0
SHARP,425190.0,454399.0,285521.0,288271.0,226410.0
STONE,368.0,0.0,0.0,1035.0,1531.0
UNION,0.0,42534.0,2214.0,1309.0,756.0
VAN BUREN,813.0,983.0,1031.0,1561.0,1760.0
WHITE,106748.0,0.0,0.0,0.0,0.0
WOODRUFF,0.0,0.0,0.0,0.0,90.0
YELL,350020.0,333720.0,572129.0,325643.0,471707.0
ALAMEDA,532.0,2686.0,798.0,1366.0,720.0
AMADOR,403.0,5273.0,3806.0,1475.0,1941.0
BUTTE,1556.0,6042.0,4963.0,5543.0,5141.0
CALAVERAS,628.0,1761.0,2504.0,2397.0,3095.0
COLUSA,133.0,778.0,250.0,599.0,367.0
CONTRA COSTA,556.0,1067.0,3256.0,3194.0,4801.0
DEL NORTE,229.0,372.0,1141.0,396.0,95120.0
EL DORADO,1988.0,2989.0,5506.0,6396.0,7659.0
FRESNO,0.0,2463.0,6261.0,0.0,2589.0
GLENN,764.0,837.0,1531.0,1895.0,2702.0
HUMBOLDT,1552.0,1800.0,3069.0,4164.0,3106.0
IMPERIAL,70.0,75.0,196.0,494.0,87.0
INYO,100.0,84.0,292.0,0.0,0.0
KINGS,0.0,0.0,0.0,972.0,1152.0
LAKE,6133.0,4474.0,4229.0,2752.0,1906.0
LASSEN,459.0,817.0,1191.0,837.0,1856.0
LOS ANGELES,8458.0,0.0,3579.0,3005.0,2960.0
MADERA,0.0,3259.0,1277.0,1996.0,0.0
MARIN,358.0,556.0,11467.0,23433.0,38370.0
MARIPOSA,551.0,411.0,1032.0,1924.0,1792.0
MENDOCINO,4451.0,8973.0,4149.0,3817.0,3568.0
MERCED,4462056.0,3625350.0,3411016.0,3516959.0,3410713.0
MODOC,359.0,835.0,923.0,1194.0,731.0
MONO,57.0,0.0,72.0,211.0,66.0
MONTEREY,7968.0,3936.0,3303.0,1716.0,4708.0
NAPA,1001.0,0.0,2123.0,4769.0,4487.0
ORANGE,0.0,0.0,440.0,351.0,411.0
PLACER,5258.0,2861.0,4925.0,9244.0,5544.0
PLUMAS,594.0,496.0,733.0,966.0,1531.0
RIVERSIDE,5437142.0,2300179.0,4127452.0,1007667.0,984579.0
SACRAMENTO,2576.0,4280.0,3484.0,7420.0,6527.0
SAN BENITO,352.0,490.0,1502.0,3570.0,5627.0
SAN BERNARDINO,2147733.0,4276147.0,1454595.0,550727.0,860010.0
SAN DIEGO,2735865.0,2398504.0,2268366.0,1808815.0,1094318.0
SAN JOAQUIN,1780319.0,2163234.0,1851643.0,1454951.0,1242185.0
SAN LUIS OBISPO,13257.0,3993.0,6848.0,8475.0,9837.0
SAN MATEO,2026.0,1008.0,1907.0,2242.0,2894.0
SANTA BARBARA,0.0,984.0,3289.0,5678.0,3044.0
SANTA CLARA,419.0,1329.0,2378.0,16210.0,3796.0
SHASTA,2088.0,4701.0,6453.0,6893.0,5523.0
SIERRA,52.0,0.0,166.0,26.0,0.0
SISKIYOU,985.0,1319.0,3672.0,4251.0,2029.0
SOLANO,8032.0,25110.0,0.0,26169.0,18994.0
SONOMA,1126374.0,1254759.0,0.0,1612494.0,1196304.0
STANISLAUS,2370256.0,2256513.0,2549818.0,1853281.0,972924.0
SUTTER,964.0,794.0,968.0,627.0,1158.0
TEHAMA,1484.0,2525.0,5131.0,10692.0,0.0
TRINITY,507.0,719.0,1466.0,1277.0,547.0
TULARE,0.0,18347.0,19044.0,4754.0,2009.0
TUOLUMNE,528.0,519.0,976.0,3247.0,1363.0
VENTURA,1126.0,2911.0,4720.0,6951.0,5416.0
YOLO,714.0,1241.0,9162.0,12324.0,26018.0
YUBA,1165.0,2204.0,2879.0,2714.0,3618.0
ADAMS,1335.0,2867.0,3595.0,4505.0,4021.0
ALAMOSA,449.0,387.0,1014.0,405.0,875.0
ARAPAHOE,684.0,1570.0,2981.0,4646.0,4046.0
ARCHULETA,465.0,533.0,642.0,437.0,1178.0
BACA,319.0,533.0,501.0,476.0,390.0
BENT,329.0,537.0,444.0,403.0,136.0
BOULDER,0.0,0.0,0.0,5031.0,4391.0
BROOMFIELD,0.0,0.0,0.0,24.0,45.0
CHAFFEE,549.0,362.0,1007.0,596.0,932.0
CHEYENNE,110.0,85.0,244.0,0.0,46.0
CLEAR CREEK,0.0,78.0,35.0,0.0,0.0
CONEJOS,748.0,605.0,1075.0,1504.0,1282.0
COSTILLA,117.0,468.0,296.0,418.0,88.0
CROWLEY,419.0,729.0,334.0,1407.0,562.0
CUSTER,242.0,173.0,306.0,655.0,634.0
DELTA,1337.0,2997.0,3644.0,7159.0,7798.0
DENVER,0.0,0.0,0.0,0.0,75.0
DOLORES,192.0,324.0,691.0,415.0,350.0
DOUGLAS,1516.0,1652.0,2839.0,4542.0,4505.0
EAGLE,118.0,146.0,468.0,823.0,717.0
EL PASO,2056.0,4524.0,4597.0,0.0,9344.0
ELBERT,0.0,2314.0,4120.0,6252.0,8969.0
FREMONT,588.0,2247.0,2138.0,3195.0,2288.0
GARFIELD,583.0,1556.0,2465.0,9779.0,2874.0
GILPIN,0.0,0.0,0.0,42.0,76.0
GRAND,105.0,160.0,439.0,773.0,808.0
GUNNISON,0.0,568.0,293.0,753.0,1523.0
HUERFANO,139.0,340.0,620.0,681.0,1065.0
KIOWA,121.0,473.0,195.0,381.0,166.0
KIT CARSON,457.0,335.0,647.0,181.0,458.0
LA PLATA,1947.0,2515.0,3987.0,4435.0,6082.0
LARIMER,7059.0,4279.0,5033.0,9210.0,10786.0
LAS ANIMAS,512.0,521.0,909.0,13150.0,0.0
MOFFAT,663.0,821.0,751.0,1145.0,1287.0
MONTEZUMA,700.0,1484.0,4222.0,5092.0,4037.0
MONTROSE,0.0,0.0,0.0,352317.0,464268.0
OTERO,907.0,717.0,579.0,816.0,535.0
OURAY,133.0,236.0,538.0,307.0,267.0
PARK,350.0,538.0,617.0,696.0,901.0
PITKIN,0.0,203.0,264.0,247.0,1379.0
PROWERS,664.0,585.0,898.0,338.0,337.0
PUEBLO,1253.0,2298.0,1945.0,2943.0,1986.0
RIO BLANCO,222.0,277.0,594.0,534.0,497.0
RIO GRANDE,466.0,375.0,942.0,570.0,330.0
ROUTT,109.0,417.0,1315.0,1469.0,2257.0
SAGUACHE,277.0,267.0,1056.0,0.0,0.0
SAN MIGUEL,377.0,507.0,978.0,596.0,179.0
SEDGWICK,88.0,258.0,340.0,357.0,382.0
SUMMIT,0.0,0.0,66.0,32.0,163.0
TELLER,181.0,270.0,257.0,378.0,737.0
WELD,2933480.0,2791770.0,3275817.0,3589459.0,0.0
FAIRFIELD,2547.0,3881.0,3376.0,21784.0,4433.0
HARTFORD,3078.0,4240.0,4384.0,7039.0,5415.0
LITCHFIELD,4337.0,7386.0,7542.0,9759.0,9323.0
MIDDLESEX,2032.0,2688.0,2152.0,3207.0,2546.0
NEW HAVEN,15163.0,4479.0,4435.0,5061.0,5092.0
TOLLAND,3288.0,5753.0,2567.0,5492.0,6318.0
WINDHAM,0.0,8211.0,6456.0,3510.0,5156.0
KENT,0.0,2123.0,3133.0,3140.0,2644.0
SUSSEX,80007.0,47405.0,0.0,2121.0,1778.0
ALACHUA,1320.0,1585.0,5236.0,5878.0,5815.0
BAKER,305.0,858.0,1967.0,679.0,1751.0
BAY,300.0,393.0,2108.0,1237.0,835.0
BREVARD,374.0,883.0,4829.0,7727.0,3011.0
BROWARD,32.0,938.0,1250.0,4477.0,1783.0
CHARLOTTE,378.0,252.0,446.0,1445.0,928.0
CITRUS,1094.0,1230.0,1775.0,3955.0,4880.0
COLLIER,91.0,849.0,666.0,0.0,664.0
DE SOTO,251.0,1122.0,3070.0,2118.0,928.0
DIXIE,78334.0,0.0,0.0,0.0,0.0
DUVAL,1255.0,266.0,699.0,1484.0,1023.0
FLAGLER,255.0,122.0,237.0,290.0,164.0
GADSDEN,70.0,351.0,960.0,0.0,0.0
GILCHRIST,242.0,1334.0,1782.0,1809.0,1971.0
GLADES,210.0,644.0,552.0,400.0,603.0
GULF,75.0,215.0,0.0,0.0,82.0
HAMILTON,0.0,264.0,1089.0,919.0,450.0
HARDEE,292.0,541.0,1140.0,1215.0,1172.0
HENDRY,286.0,2157.0,882.0,605.0,0.0
HERNANDO,0.0,0.0,903226.0,3206.0,3965.0
HIGHLANDS,1166.0,2857.0,1906.0,8840.0,1535.0
HILLSBOROUGH,0.0,0.0,0.0,10784.0,6790.0
HOLMES,49745.0,998.0,2222.0,2055.0,1316.0
INDIAN RIVER,138.0,851.0,895.0,1233.0,1372.0
LEON,436.0,500.0,789.0,1182.0,1886.0
LEVY,430.0,1387.0,2129.0,2400.0,3525.0
LIBERTY,84.0,76.0,139.0,396.0,632.0
MANATEE,3721.0,5953.0,4861.0,12492.0,3938.0
MARTIN,0.0,0.0,0.0,3621.0,2236.0
MIAMI-DADE,2052.0,7755.0,8174.0,11910.0,36755.0
NASSAU,195.0,2104.0,2873.0,3770.0,4294.0
OKALOOSA,615.0,1092.0,1532.0,2888.0,1303.0
OKEECHOBEE,171.0,439.0,1433.0,0.0,0.0
OSCEOLA,160.0,168.0,458.0,941.0,441.0
PALM BEACH,749.0,2064.0,3249.0,6308.0,5431.0
PASCO,0.0,0.0,0.0,0.0,2636116.0
PINELLAS,248.0,113.0,146.0,280.0,914.0
PUTNAM,0.0,1042.0,60699.0,0.0,0.0
SANTA ROSA,269.0,1147.0,2901.0,2596.0,4464.0
SARASOTA,0.0,264.0,616.0,343.0,1459.0
SEMINOLE,753.0,936.0,871.0,3994.0,1739.0
ST. JOHNS,220.0,161.0,1049.0,1708.0,517.0
ST. LUCIE,317.0,423.0,331.0,1100.0,1777.0
SUWANNEE,322268.0,149231.0,220707.0,70199.0,122025.0
TAYLOR,0.0,151.0,814.0,1729.0,335.0
VOLUSIA,878.0,2680.0,5520.0,7387.0,7405.0
WAKULLA,272.0,436.0,671.0,3088.0,2132.0
WALTON,0.0,0.0,22415.0,22243.0,22966.0
APPLING,0.0,131176.0,188497.0,139585.0,597265.0
ATKINSON,0.0,184.0,152.0,0.0,44407.0
BACON,1177964.0,1228907.0,780195.0,746458.0,421852.0
BALDWIN,0.0,487.0,128.0,252.0,110.0
BANKS,994165.0,1239494.0,635916.0,534943.0,533691.0
BARROW,116042.0,46970.0,0.0,0.0,371.0
BARTOW,76090.0,52558.0,65884.0,119427.0,0.0
BEN HILL,0.0,209.0,222.0,243.0,266.0
BERRIEN,186.0,0.0,238138.0,107868.0,0.0
BLECKLEY,152.0,2654.0,76.0,100.0,158.0
BRANTLEY,652118.0,0.0,0.0,0.0,0.0
BROOKS,48.0,0.0,0.0,0.0,989.0
BRYAN,60.0,208.0,476.0,175.0,1256.0
BULLOCH,208.0,593.0,2693.0,1959.0,1365.0
BURKE,137.0,434.0,985.0,1904.0,1014.0
BUTTS,36.0,104.0,440.0,322.0,364.0
CAMDEN,635.0,0.0,421.0,904.0,559.0
CANDLER,0.0,0.0,0.0,0.0,55992.0
CATOOSA,60187.0,110139.0,176282.0,0.0,962.0
CHARLTON,0.0,0.0,0.0,0.0,459.0
CHATHAM,0.0,0.0,0.0,630.0,254.0
CHATTAHOOCHEE,0.0,50.0,0.0,30.0,0.0
CHATTOOGA,63010.0,0.0,0.0,106438.0,172473.0
CLAYTON,32.0,108.0,86.0,64.0,102.0
CLINCH,0.0,0.0,237.0,0.0,0.0
COBB,145.0,600.0,1152.0,1443.0,2146.0
COLQUITT,322.0,137244.0,246513.0,220342.0,210653.0
COOK,43.0,0.0,157.0,0.0,501.0
COWETA,324.0,446.0,1906.0,1767.0,1073.0
CRISP,0.0,260.0,588.0,430.0,383.0
DADE,38694.0,0.0,79445.0,0.0,102465.0
DAWSON,86071.0,52145.0,57327.0,321.0,0.0
DECATUR,0.0,0.0,708.0,0.0,70.0
DODGE,89.0,379.0,263.0,1279.0,1547.0
DOOLY,150.0,91.0,185.0,447.0,71.0
DOUGHERTY,0.0,70.0,326.0,83.0,0.0
EARLY,469.0,231.0,0.0,0.0,0.0
ECHOLS,0.0,0.0,0.0,0.0,121798.0
EFFINGHAM,50.0,2474.0,1085.0,2416.0,2104.0
EMANUEL,96.0,481.0,585.0,2464.0,1132.0
EVANS,0.0,0.0,0.0,0.0,102.0
FANNIN,126150.0,159069.0,0.0,83214.0,0.0
FLOYD,0.0,1700.0,3685.0,1895.0,1010.0
FORSYTH,431035.0,246501.0,0.0,0.0,51258.0
GILMER,311540.0,564818.0,337524.0,357327.0,324737.0
GLASCOCK,0.0,56.0,0.0,136.0,497.0
GLYNN,0.0,260.0,192.0,574.0,1650.0
GORDON,636846.0,396888.0,345273.0,143043.0,116459.0
GRADY,0.0,0.0,844.0,433.0,455.0
GWINNETT,73.0,91.0,206.0,667.0,452.0
HABERSHAM,360182.0,244987.0,383883.0,386244.0,457841.0
HALL,2854497.0,1964636.0,1603172.0,1779419.0,2097101.0
HANCOCK,0.0,140.0,569.0,224.0,413.0
HARALSON,73.0,113.0,524.0,743.0,0.0
HARRIS,337.0,1025.0,760.0,2191.0,924.0
HART,921455.0,1771676.0,1069520.0,1002729.0,1422028.0
HEARD,0.0,1509.0,0.0,52555.0,424.0
IRWIN,55.0,186.0,74.0,121.0,266.0
JASPER,1292848.0,0.0,0.0,0.0,4890427.0
JEFF DAVIS,0.0,0.0,0.0,0.0,140460.0
JENKINS,0.0,68.0,520.0,830.0,300.0
JONES,182.0,411.0,1077.0,485.0,1533.0
LANIER,340.0,0.0,181.0,277.0,692.0
LAURENS,60.0,427.0,567.0,0.0,78347.0
LONG,0.0,75.0,42.0,1634.0,485.0
LUMPKIN,158901.0,76125.0,36236.0,126225.0,121794.0
MCDUFFIE,120.0,348.0,804.0,1076.0,1998.0
MCINTOSH,0.0,83.0,63.0,0.0,291.0
MERIWETHER,126.0,991.0,909.0,1913.0,977.0
MITCHELL,102001.0,0.0,109226.0,0.0,0.0
MURRAY,0.0,79434.0,103082.0,0.0,180245.0
MUSCOGEE,210.0,0.0,0.0,282.0,0.0
OCONEE,0.0,496.0,779.0,668.0,1339.0
OGLETHORPE,227132.0,130457.0,122094.0,179341.0,89573.0
PAULDING,84.0,301.0,367.0,1391.0,7556.0
PEACH,0.0,160.0,312.0,1096.0,808.0
PIERCE,0.0,488.0,0.0,987.0,674.0
QUITMAN,0.0,0.0,0.0,206.0,127.0
RABUN,36.0,364.0,261.0,316.0,88.0
RICHMOND,0.0,154.0,477.0,1194.0,946.0
ROCKDALE,170.0,200.0,982.0,976.0,348.0
SCHLEY,0.0,0.0,0.0,179.0,181.0
SCREVEN,105.0,374.0,1394.0,618.0,301.0
SPALDING,90.0,818.0,948.0,1331.0,697.0
STEPHENS,105162.0,71618.0,63724.0,98351.0,75187.0
STEWART,27.0,0.0,72.0,682.0,73.0
TALBOT,0.0,97.0,70.0,119.0,0.0
TALIAFERRO,0.0,0.0,112.0,0.0,48.0
TATTNALL,246081.0,303900.0,345404.0,319905.0,155780.0
TELFAIR,0.0,840.0,638.0,805.0,246.0
TERRELL,0.0,83.0,127.0,116.0,188.0
THOMAS,0.0,0.0,0.0,392.0,0.0
TIFT,0.0,242.0,84.0,580.0,264.0
TOOMBS,82419.0,107322.0,100755.0,0.0,115486.0
TOWNS,0.0,58.0,106.0,172.0,190.0
TREUTLEN,0.0,227.0,624.0,214.0,779.0
TROUP,347.0,1340.0,535.0,1292.0,1084.0
TURNER,0.0,197.0,210.0,214.0,79.0
TWIGGS,0.0,724.0,57.0,492.0,216.0
UPSON,134.0,281.0,727.0,607.0,727.0
WARE,0.0,0.0,0.0,0.0,427.0
WARREN,0.0,504.0,454.0,425.0,283.0
WAYNE,0.0,604389.0,706530.0,263742.0,264015.0
WEBSTER,0.0,0.0,100.0,200.0,0.0
WHEELER,0.0,0.0,52.0,85.0,305.0
WHITFIELD,245882.0,240295.0,259886.0,185549.0,193611.0
WILKES,135.0,101.0,354.0,0.0,979.0
WILKINSON,0.0,188.0,1065.0,554.0,714.0
WORTH,142.0,0.0,309.0,83892.0,120719.0
HAWAII,0.0,0.0,0.0,7999.0,10218.0
HONOLULU,408739.0,0.0,0.0,0.0,278241.0
KAUAI,2172.0,402.0,1623.0,1059.0,3017.0
MAUI & KALAWAO,0.0,0.0,0.0,0.0,6884.0
MAUI & KALWAO,0.0,824.0,0.0,0.0,0.0
ADA,1931.0,1948.0,5936.0,5156.0,4662.0
BANNOCK,573.0,690.0,3340.0,2423.0,3448.0
BEAR LAKE,230.0,165.0,409.0,543.0,646.0
BENEWAH,272.0,323.0,554.0,761.0,962.0
BINGHAM,769.0,899.0,1903.0,2673.0,3548.0
BLAINE,301.0,67.0,413.0,226.0,501.0
BOISE,295.0,144.0,654.0,377.0,497.0
BONNER,1576.0,1609.0,3587.0,0.0,5589.0
BONNEVILLE,448.0,685.0,1098.0,2823.0,1965.0
BOUNDARY,93.0,807.0,1142.0,970.0,1064.0
CAMAS,0.0,57.0,225.0,301.0,227.0
CANYON,2631.0,6737.0,20907.0,25161.0,31361.0
